text1,text2,text3,text4,text5,text6,audiolink1,audiolink4,HL,font1,UL,B,I,CLR
Durable,able to withstand wear | lasting,دائم | مُعمَّر | مَتين,The ceasefire was durable enough to hold.,كان وقف إطلاق النار دائمًا بما يكفي ليصمد.,Logo,audio/durable.mp3,audio/durable-example.mp3,Durable,Durable,Durable,Durable,Durable,Durable
Foundational,forming a necessary base,تأسيسي | أساسي | جوهري,Democracy rests on foundational principles.,تقوم الديمقراطية على مبادئ أساسية.,Logo,audio/foundational.mp3,audio/foundational-example.mp3,Foundational,Foundational,Foundational,Foundational,Foundational,Foundational
Genocide,the deliberate killing of a people,إبادة جماعية,They must take every measure to prevent genocide.,يجب عليهم اتخاذ كافة التدابير لمنع الإبادة الجماعية.,Logo,audio/genocide.mp3,audio/genocide-example.mp3,Genocide,Genocide,Genocide,Genocide,Genocide,Genocide
Infinitely,to an unlimited extent,بلا حدود | إلى ما لا نهاية,We know the world is infinitely more complex than that.,نعلم أن العالم أكثر تعقيدًا بكثير مما نظن.,Logo,audio/infinitely.mp3,audio/infinitely-example.mp3,Infinitely,Infinitely,Infinitely,Infinitely,Infinitely,Infinitely
Intellectual,relating to the intellect,فكري | مُثقَّف | مُفكِّر,To be a real intellectual takes more than reading.,أن تكون مثقفًا حقيقيًا يتطلب أكثر من القراءة.,Logo,audio/intellectual.mp3,audio/intellectual-example.mp3,Intellectual,Intellectual,Intellectual,Intellectual,Intellectual,Intellectual
Notions,beliefs | ideas,أفكار | تصوّرات | مفاهيم,They had mistaken notions about the whole plan.,كانت لديهم تصوّرات مغلوطة عن الخطة كلها.,Logo,audio/notions.mp3,audio/notions-example.mp3,Notions,Notions,Notions,Notions,Notions,Notions
Prospering,thriving | flourishing,مُزدهر | مُفلح,In Japan the business kept prospering for a decade.,في اليابان ظل العمل مزدهرًا لعقد كامل.,Logo,audio/prospering.mp3,audio/prospering-example.mp3,Prospering,Prospering,Prospering,Prospering,Prospering,Prospering
Simultaneously,at the same time,في آن واحد | بشكل متزامن,It was frightening and thrilling simultaneously.,كان الأمر مخيفًا ومثيرًا في آن واحد.,Logo,audio/simultaneously.mp3,audio/simultaneously-example.mp3,Simultaneously,Simultaneously,Simultaneously,Simultaneously,Simultaneously,Simultaneously
Apogee,the highest point,أوج | ذروة,The empire reached its apogee in that century.,بلغت الإمبراطورية أوج ازدهارها في ذلك القرن.,Logo,audio/apogee.mp3,audio/apogee-example.mp3,Apogee,Apogee,Apogee,Apogee,Apogee,Apogee
Banal,lacking originality,مُبتذل | مألوف | تافه,I was expecting a sharp reply but it was banal.,كنت أتوقع ردًا لاذعًا لكنه كان مبتذلًا.,Logo,audio/banal.mp3,audio/banal-example.mp3,Banal,Banal,Banal,Banal,Banal,Banal
