Text1,Text2,TEXT1TIME,TEXT2TIME,HL
Piles,البواسير,,,
Gallbladder,المرارة,,,
Appendix,الزائدة الدودية,,,
Stomach Flu,نزلة معوية,,,
Phlegm,بلغم,,,
Mucus,مخاط,,,
Prostate,البروستاتا,,,
Cartilage,الغضروف,,,
Spine / Backbone,العمود الفقري,,,
Sinuses,الجيوب الأنفية,,,
Sinus Congestion,احتقان الجيوب الأنفية,,,
Liver,الكبد,,,
Kidney,الكلية,,,
Spleen,الطحال,,,
Pancreas,البنكرياس,,,
Lung,الرئة,,,
Windpipe / Trachea,القصبة الهوائية,,,
Esophagus / Gullet,المريء,,,
Bladder,المثانة,,,
Womb / Uterus,الرحم,,,
Ovary,المبيض,,,
Thyroid Gland,الغدة الدرقية,,,
Tonsils,اللوزتان,,,
Adenoids,اللحمية (الناميات الأنفية),,,
Larynx / Voice Box,الحنجرة,,,
Vocal Cords,الأحبال الصوتية,,,
Diaphragm,الحجاب الحاجز,,,
Small Intestine,الأمعاء الدقيقة,,,
Large Intestine / Colon,الأمعاء الغليظة (القولون),,,
Rectum,المستقيم,,,
Bile,العصارة الصفراوية,,,
Bone Marrow,النخاع العظمي,,,
Tendon,الوتر,,,
Ligament,الرباط,,,
Joint,المفصل,,,
Skull,الجمجمة,,,
Jaw,الفك,,,
Gums,اللثة,,,
Palate,سقف الحلق (الحنك),,,
Nostril,فتحة الأنف (المنخر),,,
Eardrum,طبلة الأذن,,,
Eyelid,الجفن,,,
Eyelash,الرمش,,,
Eyebrow,الحاجب,,,
Pupil,بؤبؤ العين (الحدقة),,,
Cornea,القرنية,,,
Retina,الشبكية,,,
Rib,الضلع,,,
Ribcage,القفص الصدري,,,
Collarbone,الترقوة,,,
Shoulder Blade,لوح الكتف,,,
Pelvis,الحوض,,,
Hip,الورك,,,
Kneecap,الرضفة (صابونة الركبة),,,
Ankle,الكاحل,,,
Wrist,الرسغ,,,
Elbow,المرفق (الكوع),,,
Heel,الكعب,,,
Shin,قصبة الساق,,,
Calf,بطة الساق (السمانة),,,
Thigh,الفخذ,,,
Nerve,العصب,,,
Vein,الوريد,,,
Artery,الشريان,,,
Capillary,الشعيرة الدموية,,,
Gland,الغدة,,,
Heartburn,حرقة المعدة,,,
Indigestion,عسر الهضم,,,
Bloating,الانتفاخ,,,
Constipation,الإمساك,,,
Diarrhea,الإسهال,,,
Nausea,الغثيان,,,
Vomiting,القيء (الاستفراغ),,,
Dizziness,الدوخة,,,
Vertigo,الدوار,,,
Fainting,الإغماء,,,
Migraine,الصداع النصفي,,,
Fever,الحمى (السخونة),,,
Chills,القشعريرة,,,
Cough,السعال (الكحة),,,
Sore Throat,التهاب الحلق,,,
Runny Nose,سيلان الأنف (الرشح),,,
Sneezing,العطس,,,
Hoarseness,بحة الصوت,,,
Shortness of Breath,ضيق التنفس,,,
Wheezing,أزيز الصدر (الصفير),,,
Asthma,الربو,,,
Allergy,الحساسية,,,
Rash,طفح جلدي,,,
Itching,الحكة,,,
Hives,الشرى (الأرتيكاريا),,,
Eczema,الإكزيما,,,
Boil,الدُمَّل,,,
Abscess,الخُراج,,,
Wart,الثؤلول,,,
Mole,الشامة,,,
Freckles,النمش,,,
Acne / Pimples,حب الشباب (البثور),,,
Scar,ندبة (أثر جرح),,,
Bruise,كدمة,,,
Sprain,التواء,,,
Fracture,كسر,,,
Dislocation,خلع في المفصل,,,
Swelling,تورم,,,
Inflammation,التهاب,,,
Cramp,تشنج (شد عضلي),,,
Stiffness,تيبس (تصلب),,,
Numbness,تنميل (خدر),,,
Ulcer,قرحة,,,
Stomach Ulcer,قرحة المعدة,,,
Gallstones,حصوات المرارة,,,
Kidney Stones,حصوات الكلى,,,
Hernia,الفتق,,,
Anemia,فقر الدم (الأنيميا),,,
Diabetes,مرض السكري,,,
High Blood Pressure,ارتفاع ضغط الدم,,,
Cholesterol,الكوليسترول,,,
Gout,النقرس,,,
Arthritis,التهاب المفاصل,,,
Osteoporosis,هشاشة العظام,,,
Slipped Disc,الانزلاق الغضروفي,,,
Sciatica,عرق النسا,,,
Jaundice,اليرقان (أبو صفار),,,
Insomnia,الأرق,,,
Snoring,الشخير,,,
Heart Attack,نوبة قلبية (جلطة القلب),,,
Stroke,السكتة الدماغية,,,
Blood Clot,جلطة دموية,,,
Concussion,ارتجاج في المخ,,,
Seizure,نوبة تشنجية,,,
Epilepsy,الصرع,,,
Tumor,ورم,,,
Swollen Glands,تضخم الغدد اللمفاوية,,,
Bad Breath,رائحة الفم الكريهة,,,
Tooth Decay / Cavity,تسوس الأسنان,,,
Toothache,ألم الأسنان,,,
Dandruff,قشرة الرأس,,,
Hair Loss,تساقط الشعر,,,
Sunburn,حروق الشمس (لفحة شمس),,,
Food Poisoning,تسمم غذائي,,,
Dehydration,الجفاف,,,
Chickenpox,جدري الماء,,,
Measles,الحصبة,,,
Mumps,النكاف (أبو كعب),,,
Whooping Cough,السعال الديكي,,,
Tetanus,الكزاز (التيتانوس),,,
Rabies,داء الكلب,,,
Shingles,الحزام الناري (الهربس النطاقي),,,
Painkiller,مسكن للألم,,,
Antibiotic,مضاد حيوي,,,
Ointment,مرهم,,,
Bandage,ضمادة (شاش لاصق),,,
Cast,جبيرة (جبس),,,
Crutches,عكازات,,,
Stitches,غرز (قطب جراحية),,,
Injection,حقنة,,,
Vaccine,لقاح (تطعيم),,,
IV Drip,محلول وريدي,,,
X-ray,أشعة سينية,,,
Ultrasound,الموجات فوق الصوتية (سونار),,,
Blood Test,تحليل دم,,,
Surgery,عملية جراحية,,,
Anesthesia,تخدير,,,
Prescription,وصفة طبية (روشتة),,,
Dose,جرعة,,,
Side Effects,أعراض جانبية,,,
Recovery,التعافي (النقاهة),,,
Checkup,فحص طبي (كشف),,,
